id,name,details_url,other_img_url,sculptor,year,country,location,original,skip,servant_partner
188,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-28/,,"Frémiet, Emmanuel",,Nicaragua,Managua,"Bogota, Colombia",False,10
175,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-14/,,"Frémiet, Emmanuel",1928,Venezuela,San Cristobal,"Bogota, Colombia",False,10
1,"Abbakka, Chowta",https://equestrianstatue.org/abbakka-chowta/,,Unknown,,India,"Ullal, Karnataka",,False,10
126,"Barclay de Tolly, Michael Andreas",https://equestrianstatue.org/barclay-de-tolly-michael-andreas/,,"Surovtsev, Vladimir",2007,Russia,Chernyakhovsk,,False,10
125,"Baquedano, Manuel",https://equestrianstatue.org/baquedano-manuel/,,"Arias, Virginio",1927,Chile,Santiago de Chile,,False,10
145,Baydibek,https://equestrianstatue.org/karsha-uly-baydibek/,,Aldekov and Rustemov,2002,Kazakhstan,Taraz,,False,10
40,Alexander the Great,https://equestrianstatue.org/alexander-the-great/,,"Karanfilova-Stevanovska, Valentina",2011,North Macedonia,Skopje,,False,10
202,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-44/,,"Frémiet, Emmanuel",1919,Colombia,Baranquilla,"Bogota, Colombia",False,10
204,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-46/,,"Frémiet, Emmanuel",1930,France,Paris,"Bogota, Colombia",False,10
82,Ario Barzan,https://equestrianstatue.org/ario-barzan/,,Unknown,,Iran,Yasuj,,False,10
45,Alexander the Great,https://equestrianstatue.org/alexander-the-great-8/,,"Loghos, Constantinos Baliou",2011,Greece,Litochoro,"Pella, Greece",False,10
137,Basava,https://equestrianstatue.org/basava-6/,,Unknown,,India,"Hubli, Karnataka",,False,10
94,"Asen II, Ivan",https://equestrianstatue.org/asen-ii-ivan/,,"Damianov, Krum",1985,Bulgaria,Veliko Tarnovo,,False,10
110,"Atatürk, Mustafa Kemal",https://equestrianstatue.org/ataturk-kemal-2/,,Unknown,,Cyprus (Turkish part),Dipkarpas,,False,9
205,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-47/,,"Tadolini, Adamo",,Honduras,Tegucigalpa,"Lima, Peru",False,9
81,"Arenas, Eustaquio Méndez",https://equestrianstatue.org/arenas-eustaquio-m-ndez/,,Unknown,,Bolivia,Tarija,,False,9
83,Arisugawa Taruhito,https://equestrianstatue.org/arisugawa-taruhito/,,"Ujihiro, Okuma",1903,Japan,Tokyo,,False,9
209,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon/,,"Weldon, Felix de",1959,US,Washington D.C.,,False,9
138,Basava,https://equestrianstatue.org/basava-7/,,Unknown,,India,"Pune, Maharashtra",,False,9
134,Basava,https://equestrianstatue.org/basava-3/,,Unknown,,India,"Belgaum, Karnataka",,False,9
143,"Batz de Castelmore, Charles de",https://equestrianstatue.org/batz-de-castelmore-charles-de/,,"Barry, Daphne du",2015,France,Lupiac,,False,9
162,"Bocskai, Stephen",https://equestrianstatue.org/bocskai-stephen/,,"Györfi, Lajos",2005,Hungary,Hajdúdorog,,False,9
35,"Aleksandrov, Todor",https://equestrianstatue.org/aleksandrov-todor/,,"Brceski, Mile",2012,North Macedonia,Skopje,,False,9
34,"Albuquerque, Joaquim Augusto Mouzinho de",https://equestrianstatue.org/mouzinho-joaqim/,,"Almeida, Jos‚ Simoes de",1940,Mozambique,Maputo,,False,9
122,Baji Rao I,https://equestrianstatue.org/baji-rao-i/,,Unknown,,India,"Pune, Maharashtra",,False,9
44,Alexander the Great,https://equestrianstatue.org/alexander-the-great-6/,,"Moustakas, Evaggelos",1974,Greece,Thessaloniki,,False,9
46,Alexander the Great,https://equestrianstatue.org/alexander-the-great-9/,,Unknown,,Greece,Edessa,,False,9
157,Biggo van Duvelant,https://equestrianstatue.org/biggo-van-duvelant/,,"Glandorf, Maria",2004,Netherlands,Rhoon,,False,9
53,Alfonso VIII,https://equestrianstatue.org/alfonso-viii-2/,,"Barrios, Javier",2009,Spain,Cuenca,,False,9
109,"Atatürk, Mustafa Kemal",https://equestrianstatue.org/ataturk-kemal/,,Unknown,,Cyprus (Turkish part),Dipkarpas,,False,9
154,Bessho Nagaharu,https://equestrianstatue.org/bessho-nagaharu/,,Unknown,2002,Japan,Miki,,False,9
108,"Atatürk, Mustafa Kemal",https://equestrianstatue.org/atat-rk-mustafa-kemal-14/,,Unknown,,Turkey,Turunc,,False,9
64,"Amedeo I, Vittorio",https://equestrianstatue.org/amedeo-i-vittorio/,,Rivalta and Vanello,1669,Italy,Turin,,False,9
95,Ashot II,https://equestrianstatue.org/ashot-ii-2/,,Unknown,,Armenia,Ljevan,,False,9
163,"Bocskai, Stephen",https://equestrianstatue.org/bocskai-stephen-2/,,"Györfi, Lajos",,Hungary,Hajdúhadház,,False,8
170,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-7/,,"Maccagnani, Eugenio/Anderlini, Giovanni",1883,Colombia,Tunja,,False,8
169,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-6/,,"Betancourt, Rodrigo Arenas",1963,Colombia,Pereira,,False,8
161,"Bocskai, Stephen",https://equestrianstatue.org/bocskai-istvan/,,"Marton, László",1972,Hungary,Hajdúszoboszlo,,False,8
31,"Alberto, Carlo",https://equestrianstatue.org/alberto-carlo/,,"Sangiorgio, Abbondio",1843,Italy,Casale Monferrato,,False,8
51,Alfonso VI,https://equestrianstatue.org/alfonso-vi/,,"Vidales, Luis Martin de",2004,Spain,Toledo,,False,8
4,Ablai,https://equestrianstatue.org/ablai-2/,,Unknown,,Kazakhstan,Petropavi,,False,8
71,"Appaiah, Guddera",https://equestrianstatue.org/appaia-guddera/,,"Guddikar, Ashok",2012,India,"Madikeri, Karnataka",,False,8
6,"Agramonte, Ignacio",https://equestrianstatue.org/agramonte-ignacio-2/,,"Buemi, Salvatore",1912,Cuba,Camagüey,,False,8
112,Augustus,https://equestrianstatue.org/augustus/,,"Zancada, Eduardo",2007,Spain,Merida,,False,8
115,Aung San,https://equestrianstatue.org/aug-san/,,Unknown,,Myanmar,Monywa,,False,8
203,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-45/,,"Maccagnani, Eugenio/Anderlini, Giovanni",1923,Colombia,Medellin,"Tunja, Colombia",False,8
21,Albert I,https://equestrianstatue.org/albert-i-7/,,"Martial, Armand",1938,France,Paris,,False,8
17,Albert I,https://equestrianstatue.org/albert-i-3/,,"Courtens, Alfred",1950,Belgium,Brussels,,False,7
180,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-20/,,"Campos, Emilio Luiz",1981,Spain,Sevilla,,False,7
47,Alexander the Great,https://equestrianstatue.org/alexander-the-great-7/,,"Pappas, Yannis",1973,Greece,Athens,,False,7
100,"Atatürk, Mustafa Kemal",https://equestrianstatue.org/atat-rk-mustafa-kemal-3/,,"Krippel, Heinrich",1927,Turkey,Ankara,,False,7
171,"Bolivar, Simon",https://equestrianstatue.org/bolivar-simon-8/,,Maccagnani and Anderlini,,Ecuador,Guayaquil,"Tunja, Columbia",False,7
15,al-Atrash,https://equestrianstatue.org/al-atrash/,,Unknown,,Israel,Hurfeish,,False,7
